rank,V1,V2,V3
0,2,6,1970
1,1,27,1971
2,2,15,1972
3,2,3,1973
4,1,23,1974
5,2,11,1975
6,1,31,1976
7,2,18,1977
8,2,7,1978
9,1,28,1979
10,2,16,1980
11,2,5,1981
12,1,25,1982
13,2,13,1983
14,2,2,1984
15,2,20,1985
16,2,9,1986
17,1,29,1987
18,2,17,1988
19,2,6,1989
20,1,27,1990
21,2,15,1991
22,2,4,1992
23,1,23,1993
24,2,10,1994
25,1,31,1995
26,2,19,1996
27,2,7,1997
28,1,28,1998
29,2,16,1999
30,2,5,2000
31,1,24,2001
32,2,12,2002
33,2,1,2003
34,1,22,2004
35,2,9,2005
36,1,29,2006
37,2,18,2007
38,2,7,2008
39,1,26,2009
40,2,14,2010
41,2,3,2011
42,1,23,2012
43,2,10,2013
44,1,31,2014
45,2,19,2015
46,2,8,2016
47,1,28,2017
48,2,16,2018
49,2,5,2019
50,1,25,2020
